Unnamed: 0,postal_code,state,city
102481,59842,MT,haugan
102485,83841,ID,laclede
102506,12787,NY,whitesulphursprings
102522,66843,KS,cedarpoint
102571,61545,IL,lowpoint
102677,38042,TN,hickoryvalley
102697,27102,NC,winstonsalem
102713,65673,MO,hollister
102838,56157,MN,lynd
102985,67111,KS,murdock
102997,66943,KS,greenleaf
103044,36858,AL,hatchechubbee
103167,26684,WV,pool
103175,30448,GA,nunez
103176,41385,KY,vancleve
103220,68068,NE,washington
103239,79061,TX,mobeetie
103319,59064,MT,pompeyspillar
103324,30069,GA,marietta
103338,1346,MA,heath
103398,38634,MS,hollysprings
103399,84744,UT,koosharem
103490,88112,NM,broadview
103493,15780,PA,valier
103516,77466,TX,pattison
103570,93244,CA,lemoncove
103595,84732,UT,greenwich
103657,26237,WV,tallmansville
103718,67066,KS,iuka
103822,75448,TX,klondike
103910,21916,MD,childs
103920,50560,IA,luverne
103986,48620,MI,edenville
103990,79539,TX,obrien
104071,21077,MD,harmans
104108,78107,TX,berclair
104189,51053,IA,schaller
104197,99744,AK,anderson
104236,22649,VA,middletown
104263,89010,NV,dyer
104300,79565,TX,westbrook
104318,5741,VT,eastpoultney
104337,84731,UT,greenville
104394,38627,MS,etta
104415,17730,PA,dewart
104419,83217,ID,bancroft
104449,59414,MT,blackeagle
104530,59520,MT,bigsandy
104618,79743,TX,imperial
104786,14783,NY,steamburg
104838,56663,MN,pennington
104896,54525,WI,gile
104953,71855,AR,ozan
104955,78870,TX,knippa
105027,56541,MN,flom
105037,45349,OH,northhampton
105059,46155,IN,mays
105360,45372,OH,tremontcity
105524,17254,PA,scotland
105555,69220,NE,sparks
105564,41828,KY,kite
105615,73058,OK,meridian
105637,51447,IA,kirkman
105735,87412,NM,blanco
105751,56650,MN,kelliher
105791,39886,GA,shellman
105850,72037,AR,coy
105875,46959,IN,miami
105934,50078,IA,ferguson
105942,72517,AR,brockwell
105985,99757,AK,lakeminchumina
105991,41754,KY,krypton
